,sim,sim_std,obs
2005-06-16,2.4736877108979436,0.8537356313188541,
2005-06-17,2.503351870793223,0.8518529312643561,
2005-06-18,2.5329740332841006,0.8498284376618317,
2005-06-19,2.5477369206127722,0.8560730542476699,
2005-06-20,2.5516460114165214,0.8628477642567738,
2005-06-21,2.5547063205169,0.8696054657675126,
2005-06-22,2.5689870316392858,0.8753931313187777,
2005-06-23,2.5863346632278814,0.8810900971245204,
2005-06-24,2.6037402416896516,0.886711840389719,
2005-06-25,2.62050576741057,0.8922714038238511,
2005-06-26,2.6419881682182926,0.8971643197288497,
2005-06-27,2.663765591539264,0.9019897807230162,
2005-06-28,2.6854532765761627,0.90691100345067,
2005-06-29,2.7071489381672156,0.9120437344225758,
2005-06-30,2.7220336041702855,0.9172997112870658,
2005-07-01,2.7418902365170306,0.9222817664263308,
2005-07-02,2.7606227839902866,0.9270073047508953,
2005-07-03,2.7789296565416453,0.931901908475823,
2005-07-04,2.798480939296872,0.9367368804224047,
2005-07-05,2.8120836482021123,0.942271411884481,
2005-07-06,2.8312096055408293,0.9472870236153038,
2005-07-07,2.86175378368001,0.9446866324750407,
2005-07-08,2.891389982583703,0.9425835340319445,
2005-07-09,2.919333428878894,0.9402334896142261,
2005-07-10,2.943984569392479,0.9382651313148017,
2005-07-11,2.9599772704406297,0.9366953082459969,
2005-07-12,2.986228367733044,0.9339401442194885,
2005-07-13,3.0123754841408057,0.9344177548967966,
2005-07-14,3.0369651807687346,0.9350343816488753,
2005-07-15,3.0620224857210814,0.9359347484286794,
2005-07-16,3.0886506390530903,0.936517982973222,
2005-07-17,3.115453189384245,0.9373553679797031,
2005-07-18,3.1419943571176665,0.9385821420578601,
2005-07-19,3.1684842331799534,0.9403110726560067,
2005-07-20,3.192708220416132,0.9424330930251247,
2005-07-21,3.215106054524402,0.9442996426454701,
2005-07-22,3.2336311766869645,0.9463586127721051,
2005-07-23,3.2529130039320444,0.9491350485863191,
2005-07-24,3.2706399580686516,0.9523269702537993,
2005-07-25,3.2887444489007245,0.9554904625738193,
2005-07-26,3.306885841130074,0.9590572237913964,
2005-07-27,3.3255865931765705,0.9623183281246752,
2005-07-28,3.3439079400325173,0.9640874545628877,
2005-07-29,3.362072472351735,0.9660128301151435,
2005-07-30,3.3859312018057652,0.9636864761063024,
2005-07-31,3.406152212406555,0.9614303442150773,
2005-08-01,3.4260037040714675,0.9594338963124861,
2005-08-02,3.4459328585678963,0.9575199924362855,
2005-08-03,3.457280504087832,0.9561422070262545,
2005-08-04,3.4724348727133223,0.9566895458728798,
2005-08-05,3.4911776943083557,0.9568411620825622,
2005-08-06,3.5091803752077726,0.9570584931099687,
2005-08-07,3.5312858266307714,0.9533622961101775,
2005-08-08,3.5529563177546417,0.9498667767263002,
2005-08-09,3.5744528660217036,0.9463657402306309,
2005-08-10,3.5956870640264422,0.9428661324911963,
2005-08-11,3.6167178839846366,0.9393797873437544,
2005-08-12,3.6380231189184538,0.935629451046404,
2005-08-13,3.6596186342438304,0.9315095455903859,
2005-08-14,3.6819193276815803,0.927508098863915,
2005-08-15,3.700647716137818,0.9241716368744313,
2005-08-16,3.719207972840972,0.9209228474757191,
2005-08-17,3.7358897427994138,0.9178547591862738,
2005-08-18,3.753378745093476,0.9147059195892446,
2005-08-19,3.772864270288944,0.9112620800711685,
2005-08-20,3.7918154722160655,0.9077855198843308,
2005-08-21,3.8100533646877914,0.9044253911480211,
2005-08-22,3.8284927231189996,0.9011335928721436,
2005-08-23,3.845023941137325,0.8981214617269854,
2005-08-24,3.862783315147919,0.894844253148697,
2005-08-25,3.8817382950750585,0.8914415244657933,
2005-08-26,3.9001118274557944,0.8880256850123696,
2005-08-27,3.917735988330199,0.8850884986280376,
2005-08-28,3.934726538465768,0.8822515270882626,
2005-08-29,3.952017233986326,0.8794926420766468,
2005-08-30,3.968791563257803,0.8768986734344891,
2005-08-31,3.983919378611293,0.8746494859588457,
2005-09-01,3.9974324559529313,0.8720969257040997,
2005-09-02,4.00939196164772,0.8697248098434534,
2005-09-03,4.026227130671072,0.8667143531534461,
2005-09-04,4.04172438991951,0.8636719838197391,
2005-09-05,4.055806273071775,0.860962123419447,
2005-09-06,4.069907424485799,0.8583750032664373,
2005-09-07,4.083513425424368,0.8557649798544773,
2005-09-08,4.097617161946672,0.8530632415234692,
2005-09-09,4.112449336847905,0.850195166301312,
2005-09-10,4.12793511649814,0.8474272216557917,
2005-09-11,4.142384203986791,0.8447860147750154,
2005-09-12,4.157330322963007,0.8422433633215919,
2005-09-13,4.167580048494473,0.8403095071165424,
2005-09-14,4.177602085664685,0.8384316212044649,
2005-09-15,4.189123148175501,0.8363430957412794,
2005-09-16,4.201450032883313,0.8340452660714691,
2005-09-17,4.214473094044586,0.8316842300547083,
2005-09-18,4.228031400112236,0.8293782341385363,
2005-09-19,4.238955671835354,0.8274166787903493,
2005-09-20,4.249063942259032,0.8256200145013822,
2005-09-21,4.2588681888367,0.8238598081035098,
2005-09-22,4.268411563633846,0.8221095469800624,
2005-09-23,4.279727189971696,0.820146135976368,
2005-09-24,4.2906732124371505,0.818759317803125,
2005-09-25,4.300560743860883,0.8176986177808311,
2005-09-26,4.30959249170055,0.8171242730259516,
2005-09-27,4.317153151818141,0.8172115084672282,
2005-09-28,4.322860228639351,0.8179330951034092,
2005-09-29,4.260527799261431,0.8296073121698774,
2005-09-30,4.268891877152401,0.8280259425926533,
2005-10-01,4.277133710114595,0.8264579712821033,
2005-10-02,4.2861656349874835,0.8248228826796071,
2005-10-03,4.294944734618727,0.8232407782155368,
2005-10-04,4.302269805459503,0.8218643513617802,
2005-10-05,4.309124165486681,0.8205240153611456,
2005-10-06,4.315279300285312,0.8193476224105013,
2005-10-07,4.321437620645175,0.81815873392189,
2005-10-08,4.327433902783796,0.8168730310873599,
2005-10-09,4.333301700149833,0.8150958647480336,
2005-10-10,4.339947045104392,0.8132252261056555,
2005-10-11,4.346121077033421,0.8114631271746887,
2005-10-12,4.351612961411947,0.8098715671408684,
2005-10-13,4.356576790108346,0.8084178476646512,
2005-10-14,4.361390151887935,0.8070548708031906,
2005-10-15,4.364663770046969,0.8060184918611747,
2005-10-16,4.367646536987136,0.8050535508798884,
2005-10-17,4.367819921936633,0.8038699470505976,
2005-10-18,4.372091986147415,0.8021567006002845,
2005-10-19,4.375910214040838,0.8004965049675288,
2005-10-20,4.379294270739749,0.79894001048636,
2005-10-21,4.381361884602721,0.7968086119341575,
2005-10-22,4.382982745115329,0.79497938730943,
2005-10-23,4.382743763679938,0.7937749528257758,
2005-10-24,4.381169708644929,0.7930047386055852,
2005-10-25,4.379791562659854,0.7925935824004963,
2005-10-26,4.375229510204137,0.7920226277168877,
2005-10-27,4.3701162112331025,0.7934515246480373,
2005-10-28,4.364034373553266,0.7969140023318285,
2005-10-29,4.357551922109516,0.800333574816592,
2005-10-30,4.352093615371197,0.8044061085548297,
2005-10-31,4.345181187073545,0.8094549196487117,
2005-11-01,4.3385652951897615,0.8144277511611898,
2005-11-02,4.335253527923498,0.817017043122382,
2005-11-03,4.329734299703754,0.820607693627467,
2005-11-04,4.32249003472546,0.8253312600700397,
2005-11-05,4.316896633681654,0.83038920294085,
2005-11-06,4.311194367667342,0.835921445257107,
2005-11-07,4.303929026502601,0.8404118466188909,
2005-11-08,4.292481963221459,0.847082995888513,
2005-11-09,4.2794138356627975,0.8560774622622314,
2005-11-10,4.265962229329747,0.8642741643682181,
2005-11-11,4.252718442874094,0.8739706067570104,
2005-11-12,4.239447097661169,0.8841883261561916,
2005-11-13,4.205167978037221,0.8998602965395991,
2005-11-14,4.168123814481249,0.9162075304755218,
2005-11-15,4.12854160488054,0.9337536170961694,
2005-11-16,4.086538088614851,0.9523236154636887,
2005-11-17,4.039942878872902,0.9707613822390073,
2005-11-18,4.011569929357626,0.987366708138336,
2005-11-19,3.981707406165612,1.0051481589303264,
2005-11-20,3.95026480804881,1.0240930105844908,
2005-11-21,3.91932154820071,1.0432704253753167,
2005-11-22,3.88686135074147,1.0601790462499907,
2005-11-23,3.8541378422272468,1.0758072004910741,
2005-11-24,3.8198184888890334,1.0920005064589398,
2005-11-25,3.7865216649161204,1.1074423689174682,
2005-11-26,3.750477132455435,1.1199169028562357,
2005-11-27,3.7117204644154436,1.1275243833560749,
2005-11-28,3.6684823663445054,1.1318201022692944,
